Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-12-30;Saldo Anterior;;;;0.0;10480.0;;;;10481.77;0.999999;;;
CEO 006;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;2021-12-29;Saldo Anterior;;;;0.0;7115.0;;;;7115.0;1.0;;;
CER 001;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;2021-12-30;Saldo Anterior;;;;0.0;13619.0;;;;13619.0;1.0;;;
CER 004;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;2021-12-30;Saldo Anterior;;;;0.0;1650.0;;;;1649.83;1.0;;;
CER 005;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;2021-12-30;Saldo Anterior;;;;0.0;12333.0;;;;12333.0;1.0;;;
CER 008;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;2021-12-30;Saldo Anterior;;;;0.0;1701.0;;;;1701.0;1.0;;;
CERE 002;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;2021-12-27;Saldo Anterior;;;;0.0;464.0;;;;463.71;1.0;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-02;Apertura;1031000.0;Almacen Central;5342.0;0.0;52007.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-02;Salida por Consumo;1031001.0;Almacen Central;0.0;356.0;51651.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-04;Salida por Consumo;1031002.0;Almacen Central;0.0;575.0;51076.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-07;Salida por Consumo;1031003.0;Almacen Central;0.0;255.0;50821.0;;;;;;Madrid INMOBILIARIA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-05;Salida por Consumo;1031004.0;Almacen Central;0.0;529.0;50292.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-04;Venta Tienda Sin Doc;1031005.0;Almacen Central;0.0;1697.0;48595.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-09;Apertura;1031006.0;Almacen Central;5248.0;0.0;53843.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-13;Venta Tienda Sin Doc;1031007.0;Almacen Central;0.0;372.0;53471.0;;;;;;DRAGON;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-12;Guía de remisión - R;1031008.0;Almacen Central;0.0;297.0;53174.0;;;;;;ELCONSI;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-08;Venta Tienda Sin Doc;1031009.0;Almacen Central;0.0;226.0;52948.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-14;Venta Tienda Sin Doc;1031010.0;Almacen Central;0.0;443.0;52505.0;;;;;;DRAGON;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-10;Venta Tienda Sin Doc;1031011.0;Almacen Central;0.0;178.0;52327.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-12;Salida por Consumo;1031012.0;Almacen Central;0.0;1724.0;50603.0;;;;;;PROCISA INGENIEROS S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-16;Entrada por Producci;1031013.0;Almacen Central;5667.0;0.0;56270.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-15;Salida por Consumo;1031014.0;Almacen Central;0.0;725.0;55545.0;;;;;;ELCONSI;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-19;Venta Tienda Sin Doc;1031015.0;Almacen Central;0.0;551.0;54994.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-17;Venta Tienda Sin Doc;1031016.0;Almacen Central;0.0;430.0;54564.0;;;;;;JEF;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-16;Guía de remisión - R;1031017.0;Almacen Central;0.0;1700.0;52864.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-23;Entrada por Producci;1031018.0;Almacen Central;1303.0;0.0;54167.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-24;Entrada por Producci;1031019.0;Almacen Central;2745.0;0.0;56912.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-22;Guía de remisión - R;1031020.0;Almacen Central;0.0;477.0;56435.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-23;Venta Tienda Sin Doc;1031021.0;Almacen Central;0.0;252.0;56183.0;;;;;;DRAGON;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-23;Venta Tienda Sin Doc;1031022.0;Almacen Central;0.0;244.0;55939.0;;;;;;Madrid INMOBILIARIA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-24;Guía de remisión - R;1031023.0;Almacen Central;0.0;86.0;55853.0;;;;;;ELCONSI;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-28;Venta Tienda Sin Doc;1031024.0;Almacen Central;0.0;148.0;55705.0;;;;;;CIM;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2022-01-22;Salida por Consumo;1031025.0;Almacen Central;0.0;74.0;55631.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector A
