Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2023-12-30;Saldo Anterior;;;;0.0;4388.0;;;;4389.78;0.999999;;;
CEO 006;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;2023-12-30;Saldo Anterior;;;;0.0;9026.0;;;;9026.0;1.0;;;
CER 001;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;2023-12-30;Saldo Anterior;;;;0.0;7595.0;;;;7594.95;1.0;;;
CER 004;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;2023-12-29;Saldo Anterior;;;;0.0;127.0;;;;126.86;1.0;;;
CER 005;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;2023-12-30;Saldo Anterior;;;;0.0;2866.0;;;;2867.12;1.0;;;
CER 008;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;2023-12-26;Saldo Anterior;;;;0.0;379.0;;;;379.01;1.0;;;
CERE 002;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;2023-12-29;Saldo Anterior;;;;0.0;1969.0;;;;1970.29;1.0;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-01;Entrada por Producci;1032000.0;Almacen Central;2945.0;0.0;167427.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-03;Entrada por Producci;1032001.0;Almacen Central;1017.0;0.0;168444.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-01;Entrada por Producci;1032002.0;Almacen Central;2180.0;0.0;170624.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-06;Salida por Consumo;1032003.0;Almacen Central;0.0;907.0;169717.0;;;;;;Madrid INMOBILIARIA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-01;Guía de remisión - R;1032004.0;Almacen Central;0.0;495.0;169222.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-06;Guía de remisión - R;1032005.0;Almacen Central;0.0;622.0;168600.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-07;Guía de remisión - R;1032006.0;Almacen Central;0.0;376.0;168224.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-06;Venta Tienda Sin Doc;1032007.0;Almacen Central;0.0;342.0;167882.0;;;;;;Madrid INMOBILIARIA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-04;Guía de remisión - R;1032008.0;Almacen Central;0.0;372.0;167510.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-06;Venta Tienda Sin Doc;1032009.0;Almacen Central;0.0;108.0;167402.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-01;Salida por Consumo;1032010.0;Almacen Central;0.0;1016.0;166386.0;;;;;;Madrid INMOBILIARIA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-08;Apertura;1032011.0;Almacen Central;2589.0;0.0;168975.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-08;Entrada por Producci;1032012.0;Almacen Central;1130.0;0.0;170105.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-08;Entrada por Producci;1032013.0;Almacen Central;2519.0;0.0;172624.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-08;Venta Tienda Sin Doc;1032014.0;Almacen Central;0.0;203.0;172421.0;;;;;;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-10;Salida por Consumo;1032015.0;Almacen Central;0.0;269.0;172152.0;;;;;;CIM;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-13;Guía de remisión - R;1032016.0;Almacen Central;0.0;608.0;171544.0;;;;;;Madrid INMOBILIARIA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-10;Salida por Consumo;1032017.0;Almacen Central;0.0;453.0;171091.0;;;;;;JEF;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-08;Salida por Consumo;1032018.0;Almacen Central;0.0;373.0;170718.0;;;;;;JEF;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-01-14;Venta Tienda Sin Doc;1032019.0;Almacen Central;0.0;1950.0;168768.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector A
