Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2024-12-31;Saldo Anterior;;;;0.0;11262.0;;;;11264.46;1.0;;;
CEO 006;CAJA OCTOG 100X40MM  3/4 (F. G. 0.75).;2024-12-31;Saldo Anterior;;;;0.0;10148.0;;;;10148.0;1.0;;;
CER 001;CAJA RECT 100X55X40MM 1/2 (F. G. 0.75).;2024-12-31;Saldo Anterior;;;;0.0;13361.0;;;;13363.06;1.000009;;;
CER 004;CAJA RECT 100X55X40MM 1/2 (F. G. 1.20).;2024-12-30;Saldo Anterior;;;;0.0;1572.0;;;;1571.86;1.0;;;
CER 005;CAJA RECT 100X55X40MM 3/4 (F. G. 0.75).;2024-12-28;Saldo Anterior;;;;0.0;14724.0;;;;14725.15;1.0;;;
CER 008;CAJA RECT 100X55X40MM 3/4 (F. G. 1.20).;2024-12-30;Saldo Anterior;;;;0.0;3247.0;;;;3246.93;1.0;;;
CERE 002;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.20).;2024-12-18;Saldo Anterior;;;;0.0;1736.0;;;;1737.29;1.0;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-01;Entrada por Producci;1032500.0;Almacen Central;2152.0;0.0;243337.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-01;Entrada por Producci;1032501.0;Almacen Central;1813.0;0.0;245150.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-01;Entrada por Producci;1032502.0;Almacen Central;2848.0;0.0;247998.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-02;Venta Tienda Sin Doc;1032503.0;Almacen Central;0.0;745.0;247253.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-04;Salida por Consumo;1032504.0;Almacen Central;0.0;586.0;246667.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-03;Venta Tienda Sin Doc;1032505.0;Almacen Central;0.0;399.0;246268.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-02;Venta Tienda Sin Doc;1032506.0;Almacen Central;0.0;359.0;245909.0;;;;;;CIM;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-05;Guía de remisión - R;1032507.0;Almacen Central;0.0;218.0;245691.0;;;;;;DRAGON;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-03;Guía de remisión - R;1032508.0;Almacen Central;0.0;292.0;245399.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-07;Salida por Consumo;1032509.0;Almacen Central;0.0;428.0;244971.0;;;;;;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-06;Salida por Consumo;1032510.0;Almacen Central;0.0;297.0;244674.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-02;Salida por Consumo;1032511.0;Almacen Central;0.0;1056.0;243618.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-10;Entrada por Producci;1032512.0;Almacen Central;1822.0;0.0;245440.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-08;Entrada por Producci;1032513.0;Almacen Central;4105.0;0.0;249545.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-12;Venta Tienda Sin Doc;1032514.0;Almacen Central;0.0;910.0;248635.0;;;;;;DRAGON;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-11;Venta Tienda Sin Doc;1032515.0;Almacen Central;0.0;456.0;248179.0;;;;;;NEVADO CONSTRUCTORA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-09;Salida por Consumo;1032516.0;Almacen Central;0.0;390.0;247789.0;;;;;;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-09;Salida por Consumo;1032517.0;Almacen Central;0.0;430.0;247359.0;;;;;;JEF;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-14;Guía de remisión - R;1032518.0;Almacen Central;0.0;1660.0;245699.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-16;Entrada por Producci;1032519.0;Almacen Central;3666.0;0.0;249365.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-16;Entrada por Producci;1032520.0;Almacen Central;1410.0;0.0;250775.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-16;Entrada por Producci;1032521.0;Almacen Central;2758.0;0.0;253533.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-17;Salida por Consumo;1032522.0;Almacen Central;0.0;370.0;253163.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-19;Salida por Consumo;1032523.0;Almacen Central;0.0;406.0;252757.0;;;;;;JEF;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-16;Venta Tienda Sin Doc;1032524.0;Almacen Central;0.0;826.0;251931.0;;;;;;DRAGON;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-16;Salida por Consumo;1032525.0;Almacen Central;0.0;353.0;251578.0;;;;;;JEF;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-21;Salida por Consumo;1032526.0;Almacen Central;0.0;156.0;251422.0;;;;;;ELCONSI;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-20;Venta Tienda Sin Doc;1032527.0;Almacen Central;0.0;651.0;250771.0;;;;;;SETECOM AIR;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-20;Salida por Consumo;1032528.0;Almacen Central;0.0;174.0;250597.0;;;;;;Madrid INMOBILIARIA;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-21;Salida por Consumo;1032529.0;Almacen Central;0.0;1903.0;248694.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-22;Entrada por Producci;1032530.0;Almacen Central;7191.0;0.0;255885.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-24;Salida por Consumo;1032531.0;Almacen Central;0.0;443.0;255442.0;;;;;;CIM;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-22;Guía de remisión - R;1032532.0;Almacen Central;0.0;398.0;255044.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-27;Guía de remisión - R;1032533.0;Almacen Central;0.0;498.0;254546.0;;;;;;Consultores en Ingeniería y Mantenimiento General S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-22;Venta Tienda Sin Doc;1032534.0;Almacen Central;0.0;752.0;253794.0;;;;;;JEF;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-22;Salida por Consumo;1032535.0;Almacen Central;0.0;555.0;253239.0;;;;;;DRAGON;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-22;Guía de remisión - R;1032536.0;Almacen Central;0.0;269.0;252970.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-23;Salida por Consumo;1032537.0;Almacen Central;0.0;216.0;252754.0;;;;;;JEF;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-27;Salida por Consumo;1032538.0;Almacen Central;0.0;228.0;252526.0;;;;;;CIM;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-24;Venta Tienda Sin Doc;1032539.0;Almacen Central;0.0;1193.0;251333.0;;;;;;H&R ELECTRICAL ENGINEERS S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-30;Entrada por Producci;1032540.0;Almacen Central;2831.0;0.0;254164.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-31;Entrada por Producci;1032541.0;Almacen Central;3940.0;0.0;258104.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-29;Venta Tienda Sin Doc;1032542.0;Almacen Central;0.0;633.0;257471.0;;;;;;JEF;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-01;Salida por Consumo;1032543.0;Almacen Central;0.0;195.0;257276.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-03;Venta Tienda Sin Doc;1032544.0;Almacen Central;0.0;274.0;257002.0;;;;;;NEVADO CONSTRUCTORA;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-03;Guía de remisión - R;1032545.0;Almacen Central;0.0;398.0;256604.0;;;;;;DRAGON;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-01-31;Salida por Consumo;1032546.0;Almacen Central;0.0;517.0;256087.0;;;;;;ELCONSI;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-02;Salida por Consumo;1032547.0;Almacen Central;0.0;215.0;255872.0;;;;;;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-03;Salida por Consumo;1032548.0;Almacen Central;0.0;2041.0;253831.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-07;Apertura;1032549.0;Almacen Central;6633.0;0.0;260464.0;;;;;;;;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-05;Salida por Consumo;1032550.0;Almacen Central;0.0;693.0;259771.0;;;;;;ELCONSI;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-09;Guía de remisión - R;1032551.0;Almacen Central;0.0;820.0;258951.0;;;;;;ELCONSI;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-10;Guía de remisión - R;1032552.0;Almacen Central;0.0;320.0;258631.0;;;;;;ARCHENGINE CONSULTORA S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-05;Salida por Consumo;1032553.0;Almacen Central;0.0;189.0;258442.0;;;;;;DRAGON;Online;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-11;Salida por Consumo;1032554.0;Almacen Central;0.0;336.0;258106.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-06;Venta Tienda Sin Doc;1032555.0;Almacen Central;0.0;386.0;257720.0;;;;;;NEVADO CONSTRUCTORA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2025-02-06;Venta Tienda Sin Doc;1032556.0;Almacen Central;0.0;111.0;257609.0;;;;;;PROCISA INGENIEROS S.A.C.;Online;Sector A
